,total_reward,negative_reward,trial
0,0.0,-2.0,26
1,3.0,-1.0,26
2,4.5,-1.5,41
3,28.5,-1.5,14
4,14.0,0.0,2
5,14.5,-3.5,36
6,22.0,-2.0,21
7,24.0,0.0,11
8,9.5,-2.5,31
9,23.0,-3.0,31
10,17.5,-0.5,5
11,23.5,-4.5,31
12,1.0,-1.0,26
13,34.0,-2.0,26
14,28.0,-2.0,29
15,38.0,-2.0,26
16,28.5,-3.5,22
17,20.0,0.0,12
18,18.0,0.0,4
19,32.0,-2.0,36
20,18.0,0.0,21
21,30.0,-2.0,26
22,19.0,-1.0,9
23,23.5,-0.5,9
24,28.0,-6.0,26
25,25.5,-2.5,14
26,30.0,-4.0,51
27,26.0,-2.0,13
28,25.0,-1.0,10
29,23.5,-0.5,8
30,21.5,-2.5,11
31,20.5,-3.5,14
32,21.5,-4.5,26
33,33.0,-1.0,14
34,19.5,-2.5,11
35,24.0,-2.0,11
36,29.5,-4.5,31
37,31.0,-5.0,26
38,64.0,-4.0,41
39,32.0,-8.0,36
40,29.0,-3.0,17
41,18.0,0.0,4
42,24.5,-1.5,11
43,14.5,-3.5,36
44,23.5,-0.5,10
45,24.5,-3.5,15
46,22.5,-1.5,9
47,29.0,-1.0,14
48,29.0,-5.0,25
49,19.5,-0.5,13
50,16.0,0.0,3
51,26.0,-2.0,26
52,25.5,-0.5,13
53,29.0,-1.0,18
54,11.5,-0.5,3
55,18.0,0.0,4
56,19.0,-1.0,12
57,18.0,0.0,8
58,25.5,-0.5,18
59,13.5,-0.5,3
60,14.0,0.0,2
61,13.5,0.0,4
62,20.0,0.0,13
63,11.5,-0.5,2
64,20.0,0.0,11
65,26.0,-2.0,19
66,18.0,0.0,11
67,21.5,-0.5,14
68,33.0,-1.0,15
69,18.0,0.0,4
70,22.0,0.0,6
71,26.0,0.0,17
72,21.0,-3.0,13
73,27.5,-2.5,15
74,36.0,-6.0,30
75,39.0,-3.0,22
76,22.5,-3.5,21
77,34.5,-1.5,17
78,47.0,-3.0,28
79,20.0,0.0,5
80,21.5,-6.0,23
81,19.5,-0.5,11
82,24.5,-3.5,18
83,46.0,-4.0,31
84,18.0,0.0,4
85,32.5,-1.5,15
86,29.5,-0.5,11
87,18.5,-5.5,31
88,21.0,-1.0,16
89,19.5,-0.5,9
90,31.5,-0.5,19
91,40.0,-4.0,31
92,25.5,-2.5,22
93,32.0,-2.0,31
94,20.5,-1.5,13
95,28.0,0.0,17
96,17.0,-1.0,8
97,23.5,-0.5,9
98,22.0,0.0,11
99,28.5,-1.5,17
