total_reward,negative_reward,trial_length
0.0,-2.0,26
3.0,-1.0,26
4.5,-1.5,41
8.5,-1.5,26
28.0,-2.0,22
24.5,-1.5,11
19.0,-1.0,7
12.0,0.0,36
26.5,-1.5,17
28.0,-4.0,22
36.5,-3.5,36
39.0,-3.0,23
30.0,-2.0,16
23.0,-1.0,12
21.5,-2.5,13
35.0,-1.0,16
26.5,-1.5,15
40.5,-5.5,28
23.5,-0.5,9
33.0,-5.0,27
30.5,-1.5,15
21.0,-1.0,8
-1.5,-1.5,26
7.5,-4.5,36
36.5,-3.5,22
15.5,-0.5,4
26.5,-1.5,15
21.5,-0.5,7
38.5,-3.5,24
22.5,-1.5,21
28.0,-2.0,14
21.5,-0.5,7
27.5,-4.5,25
22.0,-2.0,12
7.5,-0.5,21
40.0,-2.0,20
21.0,-1.0,8
31.0,-5.0,26
12.0,-4.0,26
15.5,-0.5,4
29.0,-7.0,30
20.5,-3.5,26
25.0,-1.0,11
14.5,-1.5,8
42.5,-9.5,51
32.0,-4.0,31
42.0,-4.0,31
36.5,-3.5,22
16.0,0.0,3
39.0,-7.0,29
14.5,-1.5,8
43.5,-4.5,29
22.0,0.0,10
24.5,-1.5,18
22.5,-1.5,12
34.0,-4.0,24
22.5,-3.5,21
20.5,-3.5,26
46.0,-6.0,35
19.5,-0.5,6
43.5,-2.5,29
24.5,-3.5,17
18.0,0.0,4
29.0,-4.5,23
44.5,-5.5,34
22.0,0.0,6
26.0,-2.0,13
21.0,-1.0,8
26.5,-1.5,12
29.0,-5.0,22
42.5,-5.5,37
19.0,-1.0,10
33.0,-1.0,14
32.0,-6.0,31
20.0,-2.0,11
29.0,-3.0,18
28.0,-2.0,15
40.5,-1.5,20
18.0,0.0,4
20.0,0.0,5
37.5,-2.5,21
22.5,-1.5,10
31.0,-3.0,18
34.0,-2.0,17
25.5,-0.5,9
36.5,-3.5,31
21.0,-1.0,8
22.5,-5.5,31
37.0,-3.0,21
30.5,-7.5,41
36.0,-2.0,19
24.0,-2.0,13
13.5,-0.5,3
26.5,-1.5,12
19.0,-3.0,21
48.0,-4.0,36
18.0,0.0,5
21.5,-2.5,15
31.0,-1.0,13
17.0,-1.0,5
