,total_reward,negative_reward,trial
0,14.0,-6.0,11
1,13.0,-5.0,9
2,10.0,-8.0,12
3,16.0,-6.0,12
4,18.0,0.0,4
5,17.0,-1.0,5
6,10.0,-8.0,12
7,19.0,-11.0,21
8,10.0,-8.0,12
9,15.0,-3.0,7
10,14.0,-6.0,11
11,18.0,-8.0,16
12,16.0,-4.0,9
13,17.0,-1.0,5
14,4.0,-16.0,21
15,24.0,0.0,7
16,14.0,-14.0,23
17,16.0,-14.0,24
18,19.0,-3.0,9
19,11.0,-7.0,11
20,22.0,-2.0,9
21,21.0,-5.0,13
22,14.0,-4.0,8
23,23.0,-1.0,8
24,18.0,0.0,4
25,12.0,-10.0,16
26,17.0,-5.0,11
27,14.0,-8.0,14
28,21.0,-1.0,7
29,20.0,-4.0,11
30,17.0,-5.0,11
31,15.0,-3.0,7
32,14.0,-4.0,8
33,13.0,-13.0,21
34,18.0,-6.0,13
35,21.0,-5.0,13
36,23.0,-1.0,8
37,25.0,-1.0,9
38,17.0,-3.0,8
39,12.0,-8.0,13
40,21.0,-1.0,7
41,17.0,-5.0,11
42,6.0,-22.0,31
43,25.0,-1.0,9
44,14.0,-8.0,14
45,13.0,-11.0,18
46,13.0,-13.0,21
47,18.0,-6.0,13
48,12.0,-10.0,16
49,21.0,-5.0,13
50,9.0,-9.0,13
51,20.0,-6.0,14
52,23.0,-1.0,8
53,11.0,-7.0,11
54,15.0,-7.0,13
55,17.0,-5.0,11
56,19.0,-3.0,9
57,14.0,-6.0,11
58,16.0,-6.0,12
59,19.0,-3.0,9
60,10.0,-14.0,21
61,21.0,-11.0,22
62,18.0,-2.0,7
63,19.0,-5.0,12
64,10.0,-12.0,18
65,15.0,-11.0,19
66,10.0,-8.0,12
67,23.0,-1.0,8
68,11.0,-11.0,17
69,17.0,-9.0,17
70,18.0,0.0,4
71,14.0,-6.0,11
72,26.0,0.0,8
73,11.0,-11.0,17
74,28.0,-2.0,12
75,16.0,-4.0,9
76,16.0,-10.0,18
77,20.0,0.0,5
78,22.0,0.0,6
79,13.0,-11.0,18
80,22.0,0.0,6
81,14.0,-12.0,20
82,18.0,-10.0,19
83,22.0,0.0,6
84,11.0,-17.0,26
85,12.0,-6.0,10
86,16.0,-2.0,6
87,18.0,0.0,4
88,14.0,-4.0,8
89,19.0,-5.0,12
90,16.0,-2.0,6
91,16.0,-4.0,9
92,12.0,-6.0,10
93,9.0,-9.0,13
94,21.0,-7.0,16
95,11.0,-7.0,11
96,19.0,-5.0,12
97,17.0,-5.0,11
98,17.0,-15.0,26
99,13.0,-13.0,21
