,total_reward,negative_reward,trial
0,20.0,0,11
1,18.0,0,9
2,18.0,0,12
3,22.0,0,12
4,18.0,0,4
5,18.0,0,5
6,18.0,0,12
7,30.0,0,21
8,18.0,0,12
9,18.0,0,7
10,20.0,0,11
11,26.0,0,16
12,20.0,0,9
13,18.0,0,5
14,20.0,0,21
15,24.0,0,7
16,28.0,0,23
17,30.0,0,24
18,22.0,0,9
19,18.0,0,11
20,24.0,0,9
21,26.0,0,13
22,18.0,0,8
23,24.0,0,8
24,18.0,0,4
25,22.0,0,16
26,22.0,0,11
27,22.0,0,14
28,22.0,0,7
29,24.0,0,11
30,22.0,0,11
31,18.0,0,7
32,18.0,0,8
33,26.0,0,21
34,24.0,0,13
35,26.0,0,13
36,24.0,0,8
37,26.0,0,9
38,20.0,0,8
39,20.0,0,13
40,22.0,0,7
41,22.0,0,11
42,28.0,0,31
43,26.0,0,9
44,22.0,0,14
45,24.0,0,18
46,26.0,0,21
47,24.0,0,13
48,22.0,0,16
49,26.0,0,13
50,18.0,0,13
51,26.0,0,14
52,24.0,0,8
53,18.0,0,11
54,22.0,0,13
55,22.0,0,11
56,22.0,0,9
57,20.0,0,11
58,22.0,0,12
59,22.0,0,9
60,24.0,0,21
61,32.0,0,22
62,20.0,0,7
63,24.0,0,12
64,22.0,0,18
65,26.0,0,19
66,18.0,0,12
67,24.0,0,8
68,22.0,0,17
69,26.0,0,17
70,18.0,0,4
71,20.0,0,11
72,26.0,0,8
73,22.0,0,17
74,30.0,0,12
75,20.0,0,9
76,26.0,0,18
77,20.0,0,5
78,22.0,0,6
79,24.0,0,18
80,22.0,0,6
81,26.0,0,20
82,28.0,0,19
83,22.0,0,6
84,28.0,0,26
85,18.0,0,10
86,18.0,0,6
87,18.0,0,4
88,18.0,0,8
89,24.0,0,12
90,18.0,0,6
91,20.0,0,9
92,18.0,0,10
93,18.0,0,13
94,28.0,0,16
95,18.0,0,11
96,24.0,0,12
97,22.0,0,11
98,32.0,0,26
99,26.0,0,21
