total_reward,negative_reward,trial_length
14.0,-6.0,11
13.0,-5.0,9
10.0,-8.0,12
16.0,-6.0,12
18.0,0.0,4
17.0,-1.0,5
10.0,-8.0,12
19.0,-11.0,21
10.0,-8.0,12
15.0,-3.0,7
14.0,-6.0,11
18.0,-8.0,16
16.0,-4.0,9
17.0,-1.0,5
4.0,-16.0,21
24.0,0.0,7
14.0,-14.0,23
16.0,-14.0,24
19.0,-3.0,9
11.0,-7.0,11
22.0,-2.0,9
21.0,-5.0,13
14.0,-4.0,8
23.0,-1.0,8
18.0,0.0,4
12.0,-10.0,16
17.0,-5.0,11
14.0,-8.0,14
21.0,-1.0,7
20.0,-4.0,11
17.0,-5.0,11
15.0,-3.0,7
14.0,-4.0,8
13.0,-13.0,21
18.0,-6.0,13
21.0,-5.0,13
23.0,-1.0,8
25.0,-1.0,9
17.0,-3.0,8
12.0,-8.0,13
21.0,-1.0,7
17.0,-5.0,11
6.0,-22.0,31
25.0,-1.0,9
14.0,-8.0,14
13.0,-11.0,18
13.0,-13.0,21
18.0,-6.0,13
12.0,-10.0,16
21.0,-5.0,13
9.0,-9.0,13
20.0,-6.0,14
23.0,-1.0,8
11.0,-7.0,11
15.0,-7.0,13
17.0,-5.0,11
19.0,-3.0,9
14.0,-6.0,11
16.0,-6.0,12
19.0,-3.0,9
10.0,-14.0,21
21.0,-11.0,22
18.0,-2.0,7
19.0,-5.0,12
10.0,-12.0,18
15.0,-11.0,19
10.0,-8.0,12
23.0,-1.0,8
11.0,-11.0,17
17.0,-9.0,17
18.0,0.0,4
14.0,-6.0,11
26.0,0.0,8
11.0,-11.0,17
28.0,-2.0,12
16.0,-4.0,9
16.0,-10.0,18
20.0,0.0,5
22.0,0.0,6
13.0,-11.0,18
22.0,0.0,6
14.0,-12.0,20
18.0,-10.0,19
22.0,0.0,6
11.0,-17.0,26
12.0,-6.0,10
16.0,-2.0,6
18.0,0.0,4
14.0,-4.0,8
19.0,-5.0,12
16.0,-2.0,6
16.0,-4.0,9
12.0,-6.0,10
9.0,-9.0,13
21.0,-7.0,16
11.0,-7.0,11
19.0,-5.0,12
17.0,-5.0,11
17.0,-15.0,26
13.0,-13.0,21
